170217 190404.896|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to /home/pc-65304/桌面/acm-day-2/pc2/bin/logs directory.
170217 190404.896|INFO|AWT-EventQueue-0|info|
170217 190404.897|INFO|AWT-EventQueue-0|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.7.0_79 build 3850 Linux 3.13.0-24-generic (amd64) 
170217 190404.897|INFO|AWT-EventQueue-0|info|Login: team26 (aka team26)
170217 190404.897|INFO|AWT-EventQueue-0|startLog|Working directory is /home/pc-65304/桌面/acm-day-2/pc2/bin
170217 190404.897|INFO|AWT-EventQueue-0|startLog|Process id is 4210@pc65304-BM1AF-BP1AF-BM6AF
170217 190404.897|INFO|AWT-EventQueue-0|info|Contacting server at 192.168.34.178:50002 as TEAM26 @ site 0
170217 190404.897|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM26 @ site 0
170217 190404.900|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM26 @ site 0 -> SERVER0 @ site 0
170217 190404.900|INFO|Thread-2|run|send(Serializable)
170217 190404.901|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM26 @ site 0 -> SERVER0 @ site 0
170217 190404.901|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170217 190404.948|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170217 190404.994|INFO|Thread-3|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #164 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 190404.994|INFO|Thread-3|dumpPacket|Packet LOGIN_SUCCESS (Seq #164 ) recieveObject
170217 190404.994|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 190404.995|INFO|Thread-3|dumpPacket|    To: TEAM26 @ site 1
170217 190404.995|INFO|Thread-3|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@4c8de7cf
170217 190404.995|INFO|Thread-3|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
