170217 190405.016|CONFIG|Thread-3|setFileHandlers|Now logging to /home/pc-65304/桌面/acm-day-2/pc2/bin/logs directory.
170217 190405.016|INFO|Thread-3|info|
170217 190405.016|INFO|Thread-3|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.7.0_79 build 3850 Linux 3.13.0-24-generic (amd64) 
170217 190405.016|INFO|Thread-3|info|Login: team26 (aka team26)
170217 190405.016|INFO|Thread-3|startLog|Working directory is /home/pc-65304/桌面/acm-day-2/pc2/bin
170217 190405.017|INFO|Thread-3|startLog|Process id is 4210@pc65304-BM1AF-BP1AF-BM6AF
170217 190405.017|INFO|Thread-3|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
170217 190405.031|INFO|Thread-3|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
170217 190405.150|INFO|Thread-3|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
170217 190405.151|INFO|Thread-3|info|handlePacket end Packet[LOGIN_SUCCESS] #164 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 190405.151|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #164 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 190638.586|INFO|Thread-4|info| receiveObject(S) start got Packet[ADD_SETTING] #201 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 190638.589|INFO|Thread-4|dumpPacket|Packet ADD_SETTING (Seq #201 ) recieveObject
170217 190638.589|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 190638.590|INFO|Thread-4|dumpPacket|    To: SERVER0 @ site 0
170217 190638.590|INFO|Thread-4|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
170217 190638.591|INFO|Thread-4|info|handlePacket start Packet[ADD_SETTING] #201 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 190638.592|INFO|Thread-4|dumpPacket|Packet ADD_SETTING (Seq #201 ) handlePacket
170217 190638.592|INFO|Thread-4|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 190638.592|INFO|Thread-4|dumpPacket|    To: SERVER0 @ site 0
170217 190638.592|INFO|Thread-4|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C++
170217 190638.593|INFO|Thread-4|info|handlePacket end Packet[ADD_SETTING] #201 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 190638.593|INFO|Thread-4|info| receiveObject(S) end   got Packet[ADD_SETTING] #201 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 190642.040|INFO|Thread-5|info| receiveObject(S) start got Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 190642.040|INFO|Thread-5|dumpPacket|Packet ADD_SETTING (Seq #202 ) recieveObject
170217 190642.040|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 190642.040|INFO|Thread-5|dumpPacket|    To: SERVER0 @ site 0
170217 190642.040|INFO|Thread-5|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C
170217 190642.040|INFO|Thread-5|info|handlePacket start Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 190642.040|INFO|Thread-5|dumpPacket|Packet ADD_SETTING (Seq #202 ) handlePacket
170217 190642.041|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 190642.041|INFO|Thread-5|dumpPacket|    To: SERVER0 @ site 0
170217 190642.041|INFO|Thread-5|dumpPacket|   key: LANGUAGE is: edu.csus.ecs.pc2.core.model.Language GNU C
170217 190642.041|INFO|Thread-5|info|handlePacket end Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 190642.041|INFO|Thread-5|info| receiveObject(S) end   got Packet[ADD_SETTING] #202 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191144.752|INFO|Thread-6|info| receiveObject(S) start got Packet[CLOCK_STARTED] #268 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191144.753|INFO|Thread-6|dumpPacket|Packet CLOCK_STARTED (Seq #268 ) recieveObject
170217 191144.753|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191144.754|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
170217 191144.755|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170217 191144.756|INFO|Thread-6|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170217 191144.757|INFO|Thread-6|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1487329904827,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=7,WEEK_OF_MONTH=3,DAY_OF_MONTH=17,DAY_OF_YEAR=48,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=11,HOUR_OF_DAY=11,MINUTE=11,SECOND=44,MILLISECOND=827,ZONE_OFFSET=0,DST_OFFSET=0]
170217 191144.758|INFO|Thread-6|info|handlePacket start Packet[CLOCK_STARTED] #268 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191144.759|INFO|Thread-6|dumpPacket|Packet CLOCK_STARTED (Seq #268 ) handlePacket
170217 191144.759|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191144.760|INFO|Thread-6|dumpPacket|    To: SERVER0 @ site 0
170217 191144.761|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
170217 191144.761|INFO|Thread-6|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170217 191144.762|INFO|Thread-6|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1487329904827,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=7,WEEK_OF_MONTH=3,DAY_OF_MONTH=17,DAY_OF_YEAR=48,DAY_OF_WEEK=6,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=11,HOUR_OF_DAY=11,MINUTE=11,SECOND=44,MILLISECOND=827,ZONE_OFFSET=0,DST_OFFSET=0]
170217 191144.764|INFO|Thread-6|info|Clock for site 1 started by ADMINISTRATOR1 @ site 1 elapsed 0:00:00
170217 191144.764|INFO|Thread-6|info| receiveObject(S) end   got Packet[CLOCK_STARTED] #268 SERVER0 @ site 1 -> SERVER0 @ site 0
170217 191537.282|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A GNU C++ file: /home/pc-65304/桌面/pa.cpp
170217 191537.284|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 191537.285|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM26 @ site 1 -> SERVER0 @ site 1
170217 191537.313|INFO|Thread-8|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #308 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191537.314|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #308 ) recieveObject
170217 191537.314|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191537.314|INFO|Thread-8|dumpPacket|    To: TEAM26 @ site 1
170217 191537.314|INFO|Thread-8|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3 QUEUED_FOR_COMPUTER_JUDGEMENT 3 min 232567ms from TEAM26 @ site 1 id Run-5361890250551848303 problem A--6241141222231853116 lang GNU C++-162031913540604745
170217 191537.314|INFO|Thread-8|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #308 SERVER0 @ site 1 -> TEAM26 @ site 1
170217 191537.314|INFO|Thread-8|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #308 ) handlePacket
170217 191537.315|INFO|Thread-8|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--8846158816767237246)
170217 191537.315|INFO|Thread-8|dumpPacket|    To: TEAM26 @ site 1
