170216 190417.398|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to /home/pc-65304/桌面/pc2/bin/logs directory.
170216 190417.399|INFO|AWT-EventQueue-0|info|
170216 190417.399|INFO|AWT-EventQueue-0|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.7.0_79 build 3850 Linux 3.13.0-24-generic (amd64) 
170216 190417.400|INFO|AWT-EventQueue-0|info|Login: team21 (aka team21)
170216 190417.400|INFO|AWT-EventQueue-0|startLog|Working directory is /home/pc-65304/桌面/pc2/bin
170216 190417.401|INFO|AWT-EventQueue-0|startLog|Process id is 2334@pc65304-BM1AF-BP1AF-BM6AF
170216 190417.402|INFO|AWT-EventQueue-0|info|Contacting server at 192.168.34.117:50002 as TEAM21 @ site 0
170216 190417.402|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM21 @ site 0
170216 190417.406|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #1 TEAM21 @ site 0 -> SERVER0 @ site 0
170216 190417.406|INFO|Thread-2|run|send(Serializable)
170216 190417.407|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #1 TEAM21 @ site 0 -> SERVER0 @ site 0
170216 190417.407|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
170216 190417.477|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
170216 190417.527|INFO|Thread-3|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #134 SERVER0 @ site 1 -> TEAM21 @ site 1
170216 190417.527|INFO|Thread-3|dumpPacket|Packet LOGIN_SUCCESS (Seq #134 ) recieveObject
170216 190417.527|INFO|Thread-3|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default-5982225616393543329)
170216 190417.527|INFO|Thread-3|dumpPacket|    To: TEAM21 @ site 1
170216 190417.528|INFO|Thread-3|dumpPacket|   key: ACCOUNT_ARRAY is: [Ledu.csus.ecs.pc2.core.model.Account; [Ledu.csus.ecs.pc2.core.model.Account;@1c8f53b9
170216 190417.528|INFO|Thread-3|dumpPacket|   key: GENERAL_PROBLEM is: edu.csus.ecs.pc2.core.model.Problem General
170216 190417.528|INFO|Thread-3|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1487243057980,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2017,MONTH=1,WEEK_OF_YEAR=7,WEEK_OF_MONTH=3,DAY_OF_MONTH=16,DAY_OF_YEAR=47,DAY_OF_WEEK=5,DAY_OF_WEEK_IN_MONTH=3,AM_PM=0,HOUR=11,HOUR_OF_DAY=11,MINUTE=4,SECOND=17,MILLISECOND=980,ZONE_OFFSET=0,DST_OFFSET=0]
170216 190417.529|INFO|Thread-3|dumpPacket|   key: JUDGEMENT_LIST is: [Ledu.csus.ecs.pc2.core.model.Judgement; [Ledu.csus.ecs.pc2.core.model.Judgement;@4c8de7cf
170216 190417.529|INFO|Thread-3|dumpPacket|   key: PROBLEM_DATA_FILES is: [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles; [Ledu.csus.ecs.pc2.core.model.ProblemDataFiles;@786dee4c
170216 190417.529|INFO|Thread-3|dumpPacket|   key: LANGUAGE_LIST is: [Ledu.csus.ecs.pc2.core.model.Language; [Ledu.csus.ecs.pc2.core.model.Language;@7937fd58
170216 190417.529|INFO|Thread-3|dumpPacket|   key: PROFILE is: edu.csus.ecs.pc2.core.model.Profile Default--6517089958486895912
170216 190417.529|INFO|Thread-3|dumpPacket|   key: BALLOON_SETTINGS_LIST is: [Ledu.csus.ecs.pc2.core.model.BalloonSettings; [Ledu.csus.ecs.pc2.core.model.BalloonSettings;@4ad9da94
170216 190417.529|INFO|Thread-3|dumpPacket|   key: REMOTE_LOGGED_IN_USERS is: [Ledu.csus.ecs.pc2.core.model.ClientId; [Ledu.csus.ecs.pc2.core.model.ClientId;@249d50f0
170216 190417.529|INFO|Thread-3|dumpPacket|   key: CLARIFICATION_LIST is: [Ledu.csus.ecs.pc2.core.model.Clarification; [Ledu.csus.ecs.pc2.core.model.Clarification;@542ccf57
170216 190417.529|INFO|Thread-3|dumpPacket|   key: CONTEST_IDENTIFIER is: java.lang.String Default-5982225616393543329
170216 190417.529|INFO|Thread-3|dumpPacket|   key: PROBLEM_LIST is: [Ledu.csus.ecs.pc2.core.model.Problem; [Ledu.csus.ecs.pc2.core.model.Problem;@49e083ed
170216 190417.529|INFO|Thread-3|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
170216 190417.530|INFO|Thread-3|dumpPacket|   key: CATEGORY_LIST is: [Ledu.csus.ecs.pc2.core.model.Category; [Ledu.csus.ecs.pc2.core.model.Category;@32f5627f
