170301 195636.501|CONFIG|Thread-3|setFileHandlers|Now logging to /home/pc-65304/桌面/pc2/bin/logs directory.
170301 195636.501|INFO|Thread-3|info|
170301 195636.501|INFO|Thread-3|info|Version 9.4.1 20170125 (Wednesday, January 25th 2017 02:54 UTC) Java ver 1.7.0_79 build 3850 Linux 3.13.0-24-generic (amd64) 
170301 195636.501|INFO|Thread-3|info|Login: team43 (aka team43)
170301 195636.501|INFO|Thread-3|startLog|Working directory is /home/pc-65304/桌面/pc2/bin
170301 195636.501|INFO|Thread-3|startLog|Process id is 3619@pc65304-BM1AF-BP1AF-BM6AF
170301 195636.501|INFO|Thread-3|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
170301 195636.508|INFO|Thread-3|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
170301 195636.639|INFO|Thread-3|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
170301 195636.640|INFO|Thread-3|info|handlePacket end Packet[LOGIN_SUCCESS] #2786 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195636.640|INFO|Thread-3|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #2786 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195655.419|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A GNU C++ file: /home/pc-65304/A.cpp
170301 195655.422|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #2 TEAM43 @ site 1 -> SERVER0 @ site 1
170301 195655.423|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #2 TEAM43 @ site 1 -> SERVER0 @ site 1
170301 195655.469|INFO|Thread-5|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #2801 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195655.469|INFO|Thread-5|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2801 ) recieveObject
170301 195655.469|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--4072008936870381215)
170301 195655.469|INFO|Thread-5|dumpPacket|    To: TEAM43 @ site 1
170301 195655.469|INFO|Thread-5|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 356 QUEUED_FOR_COMPUTER_JUDGEMENT 62 min 3748426ms from TEAM43 @ site 1 id Run--3647048549078352184 problem A-7211780902572644883 lang GNU C++--7313565822332228372
170301 195655.470|INFO|Thread-5|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #2801 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195655.470|INFO|Thread-5|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #2801 ) handlePacket
170301 195655.470|INFO|Thread-5|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--4072008936870381215)
170301 195655.470|INFO|Thread-5|dumpPacket|    To: TEAM43 @ site 1
170301 195655.470|INFO|Thread-5|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 356 QUEUED_FOR_COMPUTER_JUDGEMENT 62 min 3748426ms from TEAM43 @ site 1 id Run--3647048549078352184 problem A-7211780902572644883 lang GNU C++--7313565822332228372
170301 195655.974|INFO|Thread-6|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #2806 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195655.974|INFO|Thread-6|dumpPacket|Packet RUN_JUDGEMENT (Seq #2806 ) recieveObject
170301 195655.974|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--4072008936870381215)
170301 195655.974|INFO|Thread-6|dumpPacket|    To: TEAM43 @ site 1
170301 195655.975|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170301 195655.975|INFO|Thread-6|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE7 @ site 1 judgement No - Run-time Error--8733913392051297308 id JudgementRecord--822817159568138369
170301 195655.975|INFO|Thread-6|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 356 JUDGED 62 min 3748426ms from TEAM43 @ site 1 id Run--3647048549078352184 problem A-7211780902572644883 lang GNU C++--7313565822332228372
170301 195655.975|INFO|Thread-6|info|handlePacket start Packet[RUN_JUDGEMENT] #2806 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195655.976|INFO|Thread-6|dumpPacket|Packet RUN_JUDGEMENT (Seq #2806 ) handlePacket
170301 195655.976|INFO|Thread-6|dumpPacket|  From: SERVER0 @ site 1 (pc65304-BM1AF-BP1AF-BM6AF @ 127.0.1.1) (Contest Id: Default--4072008936870381215)
170301 195655.976|INFO|Thread-6|dumpPacket|    To: TEAM43 @ site 1
170301 195655.976|INFO|Thread-6|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
170301 195655.976|INFO|Thread-6|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE7 @ site 1 judgement No - Run-time Error--8733913392051297308 id JudgementRecord--822817159568138369
170301 195655.976|INFO|Thread-6|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 356 JUDGED 62 min 3748426ms from TEAM43 @ site 1 id Run--3647048549078352184 problem A-7211780902572644883 lang GNU C++--7313565822332228372
170301 195658.325|INFO|Thread-6|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #2806 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195702.667|INFO|Thread-5|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #2801 SERVER0 @ site 1 -> TEAM43 @ site 1
170301 195835.229|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for A GNU C++ file: /home/pc-65304/A.cpp
